"","load","honeycomb_mode","ipa_bound","bound","ipa_consistency","lease","condition","purchase_lat_mean","purchase_lat_median","purchase_lat_p99","view_lat_mean","view_lat_median","view_lat_p99","overall_lat_mean","overall_rate"
"32",128,"amazon","tolerance:0.05","error: 5%","weak","200ms",NA,55.804374121,2.484813,434.650227,46.8779797763,2.115758,346.824887,42.9232176907554,2710.3855127568
"33",128,"flat5","tolerance:0.01","error: 1%","weak","0ms","Uniform
(5ms)",6.60921733092,6.474803,13.44791,6.21304177771,6.090684,11.028156,6.38500503252751,4153.0749017169
"34",128,"slowpoke_flat","tolerance:0.01","error: 1%","weak","0ms",NA,71.5886163526,11.761464,735.130644,55.1979846374,11.366511,581.61982,50.1300623109121,2394.756526191
"35",128,"google","tolerance:0.01","error: 1%","weak","0ms",NA,66.7972690959,2.840767,472.676659,67.7058647926,2.51626,391.727375,57.5037410849068,2075.0004960098
"36",128,"amazon","tolerance:0.01","error: 1%","weak","0ms",NA,74.5748996984,2.970284,504.094487,74.6331448079,2.57108,504.793978,64.3383514192673,1958.6874269146
"37",128,"flat5","tolerance:0.01","error: 1%","weak","200ms","Uniform
(5ms)",6.38475383817,5.993745,16.730811,5.77155009729,5.459892,6.450149,6.07880378898997,4087.8530283882
"38",128,"slowpoke_flat","tolerance:0.01","error: 1%","weak","200ms",NA,22.7824387709,10.979733,124.432202,18.3027995265,10.701859,102.884857,18.915652674267,3981.7814761963
"39",128,"google","tolerance:0.01","error: 1%","weak","200ms",NA,60.9270141384,2.643944,382.107629,50.3314374221,2.062399,323.064592,45.1988737761148,2569.5800734659
"40",128,"amazon","tolerance:0.01","error: 1%","weak","200ms",NA,76.1762912791,2.870417,510.526887,55.7601943139,2.261093,448.258053,51.3870895188306,2458.8043313773
"41",512,"flat5","consistency:strong","strong","strong","0ms",NA,154.631909162,37.298776,2745.938784,156.463510034,26.346608,2785.191241,128.879548654594,3814.6692642952
"42",512,"slowpoke_flat","consistency:strong","strong","strong","0ms","Slow replica",373.583007427,52.360031,5801.555562,377.64649471,31.606634,5774.726486,310.320850643931,1847.6996431109
"43",512,"google","consistency:strong","strong","strong","0ms",NA,1675.50983606,460.100605,27029.374792,1181.56081567,323.055229,26270.519297,1030.15509592495,437.52845532174
"44",512,"amazon","consistency:strong","strong","strong","0ms",NA,1170.45903408,283.941751,21150.532413,1183.15451791,186.352057,24906.111538,979.700013343978,478.03678430702
"45",512,"flat5","consistency:strong","strong","strong","200ms",NA,87.4082651199,37.104513,1354.648408,64.7069608417,25.358238,1273.287607,57.9500784966471,4096.4776385435
"46",512,"slowpoke_flat","consistency:strong","strong","strong","200ms","Slow replica",390.037613382,52.373403,6228.609519,376.088204555,31.613161,6607.278234,310.463354289281,1760.3196212706
"47",512,"google","consistency:strong","strong","strong","200ms",NA,1357.68344832,459.687549,25773.223441,1303.93463071,326.984414,24441.307596,1087.77995628566,479.29568017648
"48",512,"amazon","consistency:strong","strong","strong","200ms",NA,1304.82962067,313.619674,23442.442387,1130.11684961,187.574871,18628.711862,958.061732451698,502.5125171045
"49",512,"flat5","consistency:weakwrite","weak","weak","0ms",NA,6.8012365247,6.439811,26.731158,6.284793499,6.077556,16.168363,6.48090093754499,4191.4716844279
"50",512,"slowpoke_flat","consistency:weakwrite","weak","weak","0ms","Slow replica",20.0824612852,11.362911,147.838677,16.9765193615,11.043292,104.318122,18.1328187841934,3984.6794995459
"51",512,"google","consistency:weakwrite","weak","weak","0ms",NA,59.4069869213,2.551523,382.095206,65.4828855776,2.235105,448.673482,56.2362249235627,4009.787559861
"52",512,"amazon","consistency:weakwrite","weak","weak","0ms",NA,57.7122517046,2.513006,480.903229,58.0744971198,2.190935,484.220861,52.3050300727096,3996.1795908703
"53",512,"flat5","consistency:weakwrite","weak","weak","200ms",NA,6.20525068387,5.927243,6.929018,5.76374389131,5.450078,6.501658,6.04907006578313,4132.264123954
"54",512,"slowpoke_flat","consistency:weakwrite","weak","weak","200ms","Slow replica",16.790713966,10.853505,102.723268,15.0696997959,10.889107,101.605065,16.1464802960309,4136.4888486396
"55",512,"google","consistency:weakwrite","weak","weak","200ms",NA,56.2412570405,2.323209,384.983804,54.0355772233,1.974796,390.686234,47.5738345790772,3959.8433358852
"56",512,"amazon","consistency:weakwrite","weak","weak","200ms",NA,55.028450277,2.312268,410.686688,54.2640622621,2.001121,459.184446,48.533060887039,3976.3428713728
"57",512,"flat5","tolerance:0.1","error: 10%","weak","0ms",NA,6.61970203052,6.445007,7.072199,6.17342069708,6.07269,6.554895,6.3760686581709,4229.1559802002
