"","load","honeycomb_mode","ipa_bound","bound","ipa_consistency","lease","condition","mix","read_lat_mean","read_lat_median","read_lat_p95","read_lat_p99","read_rate","incr_lat_mean","incr_lat_median","incr_rate","overall_latency_mean","read_strong_fraction"
"128",2048,"amazon","tolerance:0.05","error: 5%","strong","0ms","Geo-
distributed","default",23.1187578901,1.759483,195.767919,500.921359,5203.77855522,44.3161219937,1.689117,1283.522647,27.35823071082,0
"129",4096,"fast","tolerance:0.01","error: 1%","strong","0ms","Local","default",0.703489466085,0.542483,1.249763,1.961201,5032.40029595,0.721147534539,0.415512,1255.76723052,0.7070210797758,0
"130",128,"flat5","tolerance:0.01","error: 1%","strong","0ms","Uniform
(5ms)","default",6.46917887111,5.841369,7.224183,23.260314,5392.02814138,11.154125994,5.763802,1344.97691451,7.406168295688,0
"131",512,"slowpoke_flat","tolerance:0.01","error: 1%","strong","0ms","Slow replica","default",52.9289141552,12.322558,242.719593,471.648378,4847.60464475,92.6828679181,12.355654,1203.0731437,60.87970490778,0
"132",2048,"amazon","tolerance:0.01","error: 1%","strong","0ms","Geo-
distributed","default",254.105098061,2.132097,1384.393808,3261.621996,4371.83337271,329.660195714,2.048463,1071.90946678,269.2161175916,0
"133",4096,"fast","consistency:strong","strong","strong","0ms","Local","default",0.725436381266,0.630953,1.098335,1.254424,5893.28150845,0.699841574623,0.656772,1470.09399177,0.7203174199374,1
"134",128,"flat5","consistency:strong","strong","strong","0ms","Uniform
(5ms)","default",23.0146772527,21.349003,36.960082,44.309958,3676.59469965,20.5017016457,20.209031,920.088607462,22.5120821313,1
"135",512,"slowpoke_flat","consistency:strong","strong","strong","0ms","Slow replica","default",71.9077878674,61.414287,118.5166,538.770335,4487.57611788,60.7620780726,48.911721,1116.81200602,69.67864590844,1
"136",2048,"amazon","consistency:strong","strong","strong","0ms","Geo-
distributed","default",836.042487826,738.138999,2478.153761,2666.846701,1193.24064153,827.412560213,747.992089,296.990006452,834.3165023034,1
"137",4096,"fast","consistency:weakwrite","weak","strong","0ms","Local","default",0.337857954297,0.260672,0.583325,0.812635,6569.86009975,0.287511000453,0.276416,1637.49185228,0.3277885635282,0
"138",128,"flat5","consistency:weakwrite","weak","strong","0ms","Uniform
(5ms)","default",5.42338964473,5.317891,5.909339,6.464952,6466.23901246,5.47058995846,5.350637,1621.66142838,5.432829707476,0
"139",512,"slowpoke_flat","consistency:weakwrite","weak","strong","0ms","Slow replica","default",12.6739400786,11.091042,15.275447,17.244556,6273.98978268,12.6938872969,11.21217,1572.51620381,12.67792952226,0
"140",2048,"amazon","consistency:weakwrite","weak","strong","0ms","Geo-
distributed","default",7.52286337066,1.505932,2.156958,300.175611,6147.86991794,5.55651591874,1.49963,1541.83931927,7.129593880276,0
"141",4096,"fast","latency:50ms","latency: 50ms","strong","0ms","Local","default",2.04103333827,0.627926,0.859214,49.707334,3268.25365879,0.70014402887,0.691808,810.383337444,1.77285547639,0.972283990626714
"142",128,"flat5","latency:50ms","latency: 50ms","strong","0ms","Uniform
(5ms)","default",23.7903452717,21.929318,38.906425,45.732095,3142.39320807,21.2232611538,20.828277,780.142838864,23.27692844812,0.994496334341217
"143",512,"slowpoke_flat","latency:50ms","latency: 50ms","strong","0ms","Slow replica","default",36.5261103321,35.208806,49.776255,50.041824,3168.00724279,36.5476097818,35.04396,790.434562592,36.53041022204,0.783282499798012
"144",2048,"amazon","latency:50ms","latency: 50ms","strong","0ms","Geo-
distributed","default",13.1023364025,1.533739,85.42217,293.176019,3171.10360788,124.812685664,116.989966,789.023635344,35.4444062548,0
"145",4096,"fast","latency:20ms","latency: 20ms","strong","0ms","Local","default",1.01648717617,0.631774,0.863098,19.650042,3218.35420817,0.715475899738,0.683228,811.484511444,0.9562849208836,0.971537990661061
"146",128,"flat5","latency:20ms","latency: 20ms","strong","0ms","Uniform
(5ms)","default",19.2372367995,19.422377,19.537752,19.811569,3166.61181807,20.9174650886,20.600593,792.775032545,19.57328245732,0.205400856007965
"147",512,"slowpoke_flat","latency:20ms","latency: 20ms","strong","0ms","Slow replica","default",11.9922295914,10.646404,11.790072,14.006542,3181.9768747,46.9411031558,45.675167,794.598434982,18.98200430428,0
"148",2048,"amazon","latency:20ms","latency: 20ms","strong","0ms","Geo-
distributed","default",10.6427957635,1.493905,21.27454,296.841216,3188.29573962,128.156054865,115.869831,794.612832901,34.1454475838,0
"149",4096,"fast","latency:10ms","latency: 10ms","strong","0ms","Local","default",0.851343905758,0.645631,0.865726,9.666714,3238.3340319,0.699455075429,0.696886,809.938538256,0.8209661396922,0.972549276340306
"150",128,"flat5","latency:10ms","latency: 10ms","strong","0ms","Uniform
(5ms)","default",5.42065726646,5.375931,5.512189,5.576659,3343.17988417,24.0192497381,23.791343,836.632976984,9.140375760788,0
"151",512,"slowpoke_flat","latency:10ms","latency: 10ms","strong","0ms","Slow replica","default",11.5784376986,10.730415,12.046372,17.394505,3189.57978655,49.4695259778,46.758003,791.835058363,19.15665535444,0
"152",2048,"amazon","latency:10ms","latency: 10ms","strong","0ms","Geo-
distributed","default",11.0346257828,1.487651,22.533851,336.593113,3161.43159165,128.435165761,118.12596,792.477518231,34.51473377844,0
"153",4096,"flat5","tolerance:0.1","error: 10%","strong","0ms","High load","default",6.15386412137,5.877797,6.640104,11.817982,4845.31179147,6.60299006579,5.663112,1218.09553911,6.243689310254,0
"154",4096,"flat5","tolerance:0.05","error: 5%","strong","0ms","High load","default",6.44223139351,5.802326,8.390804,13.245152,5033.30751462,7.4063494918,5.818315,1254.92058325,6.635055013168,0
"155",4096,"flat5","tolerance:0.01","error: 1%","strong","0ms","High load","default",6.15611273254,5.677675,6.949305,20.363447,4975.67355373,11.3050303304,5.648,1235.79326129,7.185896252112,0
