"","load","honeycomb_mode","ipa_bound","bound","ipa_consistency","lease","condition","retweet_lat_mean","retweet_lat_median","retweet_lat_p99","tweet_load_lat_mean","tweet_load_lat_median","tweet_load_lat_p99","timeline_lat_mean","timeline_lat_median","timeline_lat_p99","overall_lat_mean","overall_rate","containers"
"63",4096,"google","consistency:weakwrite","weak","weak","20ms",NA,642.540222416,559.153193,2013.676656,169.496701222,157.61534,351.427152,875.815714483,889.81227,2672.325414,843.702681012092,1268.5846537199,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"64",4096,"amazon","consistency:weakwrite","weak","weak","20ms",NA,573.135251542,499.288206,1766.307278,172.580196884,160.488642,320.278914,761.902725619,795.063238,2476.423871,740.578746637047,1339.6914749637,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"65",128,"fast","consistency:strong","strong","strong","0ms",NA,12.7141366748,8.727581,82.771471,4.35531585648,4.056491,7.621535,17.3850720947,19.392036,49.097694,20.3052907112387,1932.1657279819,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"66",128,"flat5","consistency:strong","strong","strong","0ms","Uniform
(5ms)",80.7129111559,70.450335,222.232188,23.2747772266,22.349647,31.301565,86.5752192664,90.868211,230.785562,88.6657837422373,423.68761123403,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"67",128,"slowpoke_flat","consistency:strong","strong","strong","0ms",NA,159.972605301,152.1495,462.673825,40.2144497699,40.297074,54.537134,161.381256635,169.878273,494.229744,166.293786555111,227.20940393006,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"68",128,"google","consistency:strong","strong","strong","0ms",NA,611.691633885,572.064787,1424.886612,146.775111083,130.172281,229.980303,594.854758387,585.293015,2303.188444,613.259500990159,64.275163223971,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"69",128,"amazon","consistency:strong","strong","strong","0ms",NA,455.19239988,426.633373,1102.219476,109.613616804,105.514006,168.194774,410.906491705,420.904334,1174.222305,439.18453404881,88.20407548254,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"70",512,"fast","consistency:strong","strong","strong","0ms",NA,33.9552553673,28.405333,102.745706,14.7275801421,14.032595,24.266981,44.2167198077,47.925138,99.81237,46.2206487368354,2032.3796027773,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"71",512,"flat5","consistency:strong","strong","strong","0ms",NA,202.781241443,160.048563,612.363482,66.6969632838,66.569125,100.72606,289.720066328,258.411438,721.224043,267.080266881604,534.27179003208,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"72",512,"slowpoke_flat","consistency:strong","strong","strong","0ms","Slow replica",372.945550473,348.749213,990.178969,102.405063303,101.441959,160.756038,413.266906638,401.72416,1030.492917,410.304213005109,322.90101433284,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
