"","load","honeycomb_mode","ipa_bound","bound","mix","mix_incr","mix_read","ipa_consistency","lease","condition","read_lat_mean","read_lat_median","read_lat_p95","read_lat_p99","read_rate","incr_lat_mean","incr_lat_median","incr_rate","overall_latency_mean","read_strong_fraction","interval_mean","interval_percent_mean","interval_percent_p99","interval_percent_max"
"314",2048,"amazon","tolerance:0.01","error: 1%","custom","0.01","0.99","strong","0ms","Geo-
distributed",270.858793322,11.266186,1788.363217,4188.312948,8110.6264224,265.314021314,2.249779,80.5100361954,270.80334560192,NA,6.36973299395,0.4538974106495,0.625,0.625
"315",2048,"fast","consistency:strong","strong","custom","0.01","0.99","strong","0ms",NA,13.972938448,13.437588,29.127012,36.280555,80082.42765,12.6041088996,12.726352,803.18084312,13.959250152516,NA,0,0,0,0
"316",2048,"flat5","consistency:strong","strong","custom","0.01","0.99","strong","0ms",NA,106.429884202,102.71514,179.181659,252.626069,13602.0965147,104.863268214,102.519979,135.640644353,106.41421804212,NA,0,0,0,0
"317",2048,"slowpoke_flat","consistency:strong","strong","custom","0.01","0.99","strong","0ms",NA,294.323245991,265.363214,552.553478,1427.546887,4592.3873183,271.272569158,261.484826,44.5236095701,294.09273922267,NA,0,0,0,0
"318",2048,"google","consistency:strong","strong","custom","0.01","0.99","strong","0ms",NA,1114.85282366,1061.425774,2101.159349,2297.046161,1218.37761915,1121.71906648,1039.868717,12.3287034531,1114.9214860882,NA,0,0,0,0
"319",2048,"amazon","consistency:strong","strong","custom","0.01","0.99","strong","0ms","Geo-
distributed",864.066533437,817.872035,1763.028271,2547.266235,1549.62974461,841.435693365,788.139821,15.8421637577,863.84022503628,NA,0,0,0,0
"320",2048,"fast","consistency:weakwrite","weak","custom","1.0","0.0","strong","0ms",NA,0.676133071055,0.319198,2.312058,7.274803,182.593269148,1.16185335093,0.351033,68655.1903699,1.16185335093,NA,0,0.31500960243,2.79,7.86
"321",2048,"flat5","consistency:weakwrite","weak","custom","1.0","0.0","strong","0ms",NA,6.025695048,5.413428,8.54505,13.804981,128.421013463,6.72767666093,5.836008,48129.2486145,6.72767666093,NA,0,1.03116321038,9.77,17.74
"322",2048,"slowpoke_flat","consistency:weakwrite","weak","custom","1.0","0.0","strong","0ms",NA,12.9501155715,12.05893,17.482519,20.55197,110.982002682,15.0218282309,14.188614,41847.6515017,15.0218282309,NA,0,0.220446918234,3.74,22.44
"323",2048,"google","consistency:weakwrite","weak","custom","1.0","0.0","strong","0ms",NA,5.00824597756,3.117652,9.862625,15.337675,157.274577841,6.22224866002,4.466166,59728.8047589,6.22224866002,NA,0,0.0280611123656,0,14.5
"324",2048,"amazon","consistency:weakwrite","weak","custom","1.0","0.0","strong","0ms","Geo-
distributed",3.96458900307,2.097004,10.025402,16.369239,136.560258069,5.26150201734,2.671719,51665.5513387,5.26150201734,NA,0,0.0165704294235,0,8.36
"325",2048,"fast","tolerance:0.1","error: 10%","custom","1.0","0.0","strong","0ms",NA,8.3987906156,6.157128,23.192854,36.764154,84.6882963107,13.045275042,10.574212,32021.0362102,13.045275042,NA,145.236158718,9.7618806768,10,10
"326",2048,"flat5","tolerance:0.1","error: 10%","custom","1.0","0.0","strong","0ms",NA,14.2491867373,10.160365,36.59196,49.650924,78.4847989142,24.7430693937,22.238113,29446.7532596,24.7430693937,NA,149.906601959,9.75808931985,10,10
"327",2048,"slowpoke_flat","tolerance:0.1","error: 10%","custom","1.0","0.0","strong","0ms",NA,15.8933993705,11.085487,36.266736,101.852245,15.7741144005,50.453316898,31.903438,6012.01513634,50.453316898,NA,148.33747372,9.76780106995,10,10
