"","name","nthreads","cc","phasing","disable_txns","cc_ph","avg_latency_ms","txn_count","total_time","throughput","txn_retries","conflicts","conflicts_total"
"17","v0.28.2-sampa",96,"boosting
 + combining","off",0,"boosting
 + combining",14.6583141912712,142792,22.7142,6286.46397407789,153232,258667,1533098
"18","v0.28.2-sampa",96,"boosting
 + combining","on",0,"boosting
 + combining
 + phasing",6.88224904327348,339700,30.2358,11235.0260287474,17488,258667,1533098
"19","v0.28.1-sampa",4,"r/w locks","off",1,"non-transactional",0.528411183659802,23892,30.0311,795.575253653712,0,0,95580
"20","v0.28.1-sampa",4,"boosting","off",1,"non-transactional",0.541811715481171,23900,30.0286,795.907901134252,0,0,95600
"21","v0.28.1-sampa",16,"r/w locks","off",1,"non-transactional",0.475224754338281,95660,30.0613,3182.16444398612,0,0,382652
"22","v0.28.1-sampa",16,"boosting","off",1,"non-transactional",0.480898770697441,95664,30.0616,3182.2657476648,0,0,382656
"23","v0.28.1-sampa",32,"r/w locks","off",1,"non-transactional",0.501932720434601,191440,30.1221,6355.46658433509,0,0,765764
"24","v0.28.1-sampa",32,"boosting","off",1,"non-transactional",0.550314465408805,191436,30.118,6356.19895079355,0,0,765756
"25","v0.28.1-sampa",64,"r/w locks","off",1,"non-transactional",1.03890571950901,382900,30.2235,12668.9496583784,0,0,1531609
"26","v0.28.1-sampa",64,"boosting","off",1,"non-transactional",0.908843775461174,382936,30.2327,12666.2851812772,0,0,1531761
"27","v0.28.1-sampa",96,"r/w locks","off",1,"non-transactional",3.24508908007548,538392,30.3392,17745.7546672292,0,0,2153654
"28","v0.28.1-sampa",96,"boosting","off",1,"non-transactional",3.29267574096989,543072,30.3388,17900.2465489736,0,0,2172338
"29","v0.28.1-sampa",4,"r/w locks","off",1,"non-transactional",0.537083682008368,23900,30.0292,795.891998454837,0,0,95604
"30","v0.28.1-sampa",4,"boosting","off",1,"non-transactional",0.542626380984265,23896,30.0291,795.761444731943,0,0,95596
"31","v0.28.1-sampa",16,"r/w locks","off",1,"non-transactional",0.500035542546519,95660,30.0619,3182.10093174417,0,0,382652
"32","v0.28.1-sampa",16,"boosting","off",1,"non-transactional",0.513233818364275,95664,30.0641,3182.00112426449,0,0,382660
"33","v0.28.1-sampa",32,"r/w locks","off",1,"non-transactional",0.607263742922212,191444,30.1211,6355.81037877103,0,0,765776
"34","v0.28.1-sampa",32,"boosting","off",1,"non-transactional",0.513271766156161,191444,30.1185,6356.35904842539,0,0,765776
"35","v0.28.1-sampa",64,"r/w locks","off",1,"non-transactional",0.915586484228118,382960,30.2294,12668.461828551,0,0,1531844
