"","name","nclients","nthreads","cc","rate","scale","mix","workload","alpha","phasing","async","cc_ph","timeout_scaling","throughput","op_timeouts","avg_latency_ms","txn_failed","total_time"
"151","v0.30-sampa","4",4,"boosting",50,"16","2read2heavy","read-heavy","-1","off",0,"boosting",500,5678.37956729808,0,1.36397675919948,0,60.0136
"152","v0.30-sampa","4",4,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"without
transactions",500,5672.26148704261,0,1.13407040135351,0,60.0198
"153","v0.30-sampa","4",4,"r/w locks",50,"16","2read2heavy","read-heavy","-1","on",0,"r/w locks
 + phasing",500,4847.11551438869,47,1.79866897670709,0,60.0159
"154","v0.30-sampa","4",4,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"without
transactions",500,5715.49482095344,0,1.10178400690282,0,60.0207
"155","v0.30-sampa","4",4,"boosting
 + combining",50,"16","geom_repost","post-heavy","-1","off",0,"boosting
 + combining",500,3749.52506015905,13,3.36060444444444,0,60.0076
"156","v0.30-sampa","4",4,"boosting
 + combining",50,"16","2read2heavy","read-heavy","-1","off",0,"boosting
 + combining",500,5526.13557407287,4,1.46843717586897,0,60.0159
"157","v0.30-sampa","4",8,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"r/w locks
(baseline)",500,668.609834830706,0,38.4044865403789,0,60.0051
"158","v0.30-sampa","4",8,"boosting",50,"16","geom_repost","post-heavy","-1","off",0,"boosting",500,6030.51552438976,23,4.72522686827823,0,60.0088
"159","v0.30-sampa","4",8,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"without
transactions",500,8732.1208163918,0,2.71900990401196,0,60.0349
"160","v0.30-sampa","4",8,"r/w locks",50,"16","geom_repost","post-heavy","-1","on",0,"r/w locks
 + phasing",500,938.044495286965,247,27.9187226843367,1,60.4918
"161","v0.30-sampa","4",8,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"without
transactions",500,8649.31313807699,0,2.72837851370818,0,60.0339
"162","v0.30-sampa","4",8,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"r/w locks
(baseline)",500,10010.9151203579,0,1.75395012817525,0,60.0085
"163","v0.30-sampa","4",8,"boosting",50,"16","2read2heavy","read-heavy","-1","off",0,"boosting",500,11924.1261054389,0,1.39428817387027,0,60.0101
"164","v0.30-sampa","4",8,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"without
transactions",500,12225.0433160069,0,1.02008187561666,0,60.024
"165","v0.30-sampa","4",8,"r/w locks",50,"16","2read2heavy","read-heavy","-1","on",0,"r/w locks
 + phasing",500,8598.97584544274,32,2.27698445219301,0,60.1667
"166","v0.30-sampa","4",8,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"without
transactions",500,12279.3450029738,0,1.00314762354422,0,60.0247
"167","v0.30-sampa","4",8,"boosting
 + combining",50,"16","geom_repost","post-heavy","-1","off",0,"boosting
 + combining",500,5826.27489339437,112,4.91117721084544,0,60.0109
"168","v0.30-sampa","4",8,"boosting
 + combining",50,"16","2read2heavy","read-heavy","-1","off",0,"boosting
 + combining",500,11958.5663531592,0,1.39418414099863,0,60.0092
"169","v0.30-sampa","4",16,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"r/w locks
(baseline)",500,636.855849205013,0,56.1025748377643,0,60.0073
"170","v0.30-sampa","4",16,"boosting",50,"16","geom_repost","post-heavy","-1","off",0,"boosting",500,7227.332106961,0,8.46205134826073,0,60.0144
"171","v0.30-sampa","4",16,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"without
transactions",500,10151.791216295,0,5.82246400587981,0,60.043
"172","v0.30-sampa","4",16,"r/w locks",50,"16","geom_repost","post-heavy","-1","on",0,"r/w locks
 + phasing",500,1090.61568238557,658,35.7587751149843,12,60.6043
"173","v0.30-sampa","4",16,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"without
transactions",500,9942.205389056,0,5.99264907895707,0,60.0402
"174","v0.30-sampa","4",16,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"r/w locks
(baseline)",500,8572.6092955362,0,5.6913244281338,0,60.0116
"175","v0.30-sampa","4",16,"boosting",50,"16","2read2heavy","read-heavy","-1","off",0,"boosting",500,17082.067578399,0,3.21694663935226,0,60.0103
"176","v0.30-sampa","4",16,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"without
transactions",500,21590.396449645,0,2.25370826466177,0,60.0278
"177","v0.30-sampa","4",16,"r/w locks",50,"16","2read2heavy","read-heavy","-1","on",0,"r/w locks
 + phasing",500,11162.4218615207,285,3.93742977569838,1,60.2776
"178","v0.30-sampa","4",16,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"without
transactions",500,22349.2488680547,0,2.13333810371404,0,60.0294
"179","v0.30-sampa","4",16,"boosting
 + combining",50,"16","geom_repost","post-heavy","-1","off",0,"boosting
 + combining",500,7310.4181490659,118,8.38238780385506,0,60.0097
"180","v0.30-sampa","4",16,"boosting
 + combining",50,"16","2read2heavy","read-heavy","-1","off",0,"boosting
 + combining",500,16171.3203107947,0,3.43366333369054,0,60.0139
"181","v0.30-sampa","4",32,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"r/w locks
(baseline)",500,664.306997020417,0,92.2353000200682,0,60.0084
"182","v0.30-sampa","4",32,"boosting",50,"16","geom_repost","post-heavy","-1","off",0,"boosting",500,7149.19625613826,142,17.6540401450667,0,60.0129
"183","v0.30-sampa","4",32,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"without
transactions",500,10287.7792487864,0,12.0654735697081,0,60.0495
"184","v0.30-sampa","4",32,"r/w locks",50,"16","geom_repost","post-heavy","-1","on",0,"r/w locks
 + phasing",500,1422.67323613294,1419,40.6113996846304,35,60.6239
"185","v0.30-sampa","4",32,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"without
transactions",500,10737.6211078138,0,11.5972902889614,0,60.0498
"186","v0.30-sampa","4",32,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"r/w locks
(baseline)",500,6534.05919179093,0,11.9076813220443,0,60.0117
"187","v0.30-sampa","4",32,"boosting",50,"16","2read2heavy","read-heavy","-1","off",0,"boosting",500,17558.3761166573,0,6.96249814939243,0,60.0117
"188","v0.30-sampa","4",32,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"without
transactions",500,26267.3242425302,0,4.45549175171966,0,60.0387
"189","v0.30-sampa","4",32,"r/w locks",50,"16","2read2heavy","read-heavy","-1","on",0,"r/w locks
 + phasing",500,15061.7206581558,885,5.10618821746576,14,60.6361
"190","v0.30-sampa","4",32,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"without
transactions",500,26029.3380370132,0,4.58004852977312,0,60.0381
"191","v0.30-sampa","4",32,"boosting
 + combining",50,"16","geom_repost","post-heavy","-1","off",0,"boosting
 + combining",500,3289.96755465901,34492,16.8889360669659,0,60.1319
"192","v0.30-sampa","4",32,"boosting
 + combining",50,"16","2read2heavy","read-heavy","-1","off",0,"boosting
 + combining",500,13963.7638535024,227,8.91507317492291,0,60.0119
"193","v0.30-sampa","4",64,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"r/w locks
(baseline)",500,753.145047071565,0,129.515044247788,0,60.015
"194","v0.30-sampa","4",64,"boosting",50,"16","geom_repost","post-heavy","-1","off",0,"boosting",500,652.077027970865,115702,44.5358563704988,0,60.134
"195","v0.30-sampa","4",64,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"without
transactions",500,10654.2930541612,0,23.7283336354488,0,60.0633
"196","v0.30-sampa","4",64,"r/w locks",50,"16","geom_repost","post-heavy","-1","on",0,"r/w locks
 + phasing",500,2299.79249463651,2158,45.0137635724117,59,45.4928
"197","v0.30-sampa","4",64,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"without
transactions",500,10534.4512966688,0,23.9883296771379,0,60.0616
"198","v0.30-sampa","4",64,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"r/w locks
(baseline)",500,6989.59239374944,0,19.3849410687722,0,60.0138
"199","v0.30-sampa","4",64,"boosting",50,"16","2read2heavy","read-heavy","-1","off",0,"boosting",500,17758.9461705208,0,14.2894457350231,0,60.0173
"200","v0.30-sampa","4",64,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"without
transactions",500,26673.8380738444,0,9.39709785922794,0,60.0533
"201","v0.30-sampa","4",64,"r/w locks",50,"16","2read2heavy","read-heavy","-1","on",0,"r/w locks
 + phasing",500,18698.3801896018,2159,7.4053287521915,49,60.6429
"202","v0.30-sampa","4",64,"r/w locks",50,"16","2read2heavy","read-heavy","-1","off",0,"without
transactions",500,26083.9736096263,0,9.55135342185904,0,60.0522
"203","v0.30-sampa","4",64,"boosting
 + combining",50,"16","geom_repost","post-heavy","-1","off",0,"boosting
 + combining",500,2783.75048017201,68467,41.7837514934289,0,60.1347
"204","v0.30-sampa","4",64,"boosting
 + combining",50,"16","2read2heavy","read-heavy","-1","off",0,"boosting
 + combining",500,16684.6395318613,9,15.1339389145875,0,60.0164
"205","v0.30-sampa","4",96,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"r/w locks
(baseline)",500,797.396663850718,4,175.769809428285,0,60.0153
"206","v0.30-sampa","4",96,"boosting",50,"16","geom_repost","post-heavy","-1","off",0,"boosting",500,2055.93202893883,132122,47.7617002034818,0,60.2374
"207","v0.30-sampa","4",96,"r/w locks",50,"16","geom_repost","post-heavy","-1","off",0,"without
transactions",500,10525.4712128602,4,35.8494648143931,0,60.0737
"208","v0.30-sampa","4",96,"r/w locks",50,"16","geom_repost","post-heavy","-1","on",0,"r/w locks
 + phasing",500,2475.48259874561,4563,58.8570667377115,124,60.6508
