"","name","nclients","nthreads","cc","phasing","rate","facet","zipf","commute_ratio","timeout_scaling","throughput","op_timeouts"
"49","v0.27.alt-sampa",4,64,"boosting","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,42900.4729319137,14
"50","v0.27.alt-sampa",4,96,"boosting","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,41221.1545090726,41
"51","v0.27.alt-sampa",4,4,"boosting
 + combining","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,6345.12897036879,0
"52","v0.27.alt-sampa",4,16,"boosting
 + combining","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,25379.108547108,0
"53","v0.27.alt-sampa",4,32,"boosting
 + combining","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,32155.0871369295,0
"54","v0.27.alt-sampa",4,64,"boosting
 + combining","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,27233.862741279,0
"55","v0.27.alt-sampa",4,96,"boosting
 + combining","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,12004.1853435469,0
"56","v0.27.alt-sampa",4,4,"boosting
 + combining","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,6344.82391034951,0
"57","v0.27.alt-sampa",4,16,"boosting
 + combining","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,25385.0299759793,0
"58","v0.27.alt-sampa",4,32,"boosting
 + combining","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,40368.9921760115,0
"59","v0.27.alt-sampa",4,64,"boosting
 + combining","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,44952.2827950489,7
"60","v0.27.alt-sampa",4,96,"boosting
 + combining","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,44475.2898610312,32
"61","v0.27.alt-sampa",4,4,"r/w locks","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,6343.91051477985,0
"62","v0.27.alt-sampa",4,16,"r/w locks","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,17816.6589111215,0
"63","v0.27.alt-sampa",4,32,"r/w locks","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,11683.8342939291,0
"64","v0.27.alt-sampa",4,64,"r/w locks","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,8214.73589582404,0
"65","v0.27.alt-sampa",4,96,"r/w locks","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,6866.08731529952,1
